name,url,description,test_type,remote_testing,adaptive_irt,duration,languages,job_levels
Automata Fix,https://www.shl.com/products/product-catalog/view/automata-fix-new/,Debugging and code fixing assessment for software developers. Tests ability to identify and fix bugs in code.,K,True,False,30 minutes,English,Professional
Core Java (Entry Level),https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,"Entry-level Java programming assessment covering fundamentals, OOP concepts, and basic data structures.",K,True,False,40 minutes,English,Entry
Core Java (Advanced Level),https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,"Advanced Java programming assessment covering multithreading, collections, design patterns, and JVM internals.",K,True,False,45 minutes,English,Professional
Java 8,https://www.shl.com/products/product-catalog/view/java-8-new/,"Java 8 specific features assessment including streams, lambdas, functional interfaces, and new date/time API.",K,True,False,35 minutes,English,Professional
Python (New),https://www.shl.com/products/product-catalog/view/python-new/,"Python programming assessment covering syntax, data structures, OOP, and common libraries.",K,True,False,40 minutes,English,Professional
SQL (Advanced),https://www.shl.com/products/product-catalog/view/sql-advanced-new/,"Advanced SQL assessment covering complex queries, optimization, stored procedures, and database design.",K,True,False,35 minutes,English,Professional
Verify Numerical Reasoning,https://www.shl.com/products/product-catalog/view/verify-numerical-reasoning/,"Assesses ability to analyze and interpret numerical data including tables, graphs, and statistics.",K,True,True,18 minutes,"English, Spanish, French","Professional, Manager"
Verify Verbal Reasoning,https://www.shl.com/products/product-catalog/view/verify-verbal-reasoning/,"Evaluates ability to understand written information, draw conclusions, and analyze complex text.",K,True,True,17 minutes,"English, Spanish, French, German","Professional, Manager"
Verify Inductive Reasoning,https://www.shl.com/products/product-catalog/view/verify-inductive-reasoning/,Measures ability to identify patterns and trends in abstract data. Tests logical reasoning.,K,True,True,24 minutes,"English, Spanish",All Levels
Verify G+ Cognitive Ability,https://www.shl.com/products/product-catalog/view/verify-g-plus/,"General cognitive ability assessment combining numerical, verbal, and abstract reasoning. Adaptive.",K,True,True,25 minutes,"English, Spanish, French, German",All Levels
Mechanical Comprehension,https://www.shl.com/products/product-catalog/view/mechanical-comprehension/,Evaluates understanding of mechanical and physical principles for technical roles.,K,True,False,25 minutes,"English, Spanish","Entry, Professional"
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/technology-professional-8/,Comprehensive assessment for technology professionals covering technical aptitude and problem-solving.,K,True,False,50 minutes,English,Professional
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,"Assesses interpersonal communication skills including active listening, clarity, and collaboration.",P,True,False,20 minutes,English,All Levels
OPQ32r,https://www.shl.com/products/product-catalog/view/opq32r/,Comprehensive personality questionnaire measuring 32 work-relevant characteristics and behaviors.,P,True,False,25 minutes,"English, Spanish, French, German, Chinese",All Levels
Motivation Questionnaire,https://www.shl.com/products/product-catalog/view/motivation-questionnaire/,"Measures factors that motivate individuals at work including achievement, recognition, and autonomy.",P,True,False,20 minutes,"English, Spanish, French",All Levels
Situational Judgment - Leadership,https://www.shl.com/products/product-catalog/view/sjt-leadership/,Presents realistic workplace scenarios to assess leadership judgment and decision-making.,P,True,False,30 minutes,"English, Spanish","Manager, Executive"
Situational Judgment - Graduate,https://www.shl.com/products/product-catalog/view/sjt-graduate/,Entry-level situational judgment test for graduate candidates assessing workplace judgment.,P,True,False,25 minutes,English,Entry
Customer Service Assessment,https://www.shl.com/products/product-catalog/view/customer-service/,Evaluates competencies for customer-facing roles including communication and service orientation.,P,True,False,20 minutes,"English, Spanish","Entry, Professional"
Call Center Simulation,https://www.shl.com/products/product-catalog/view/call-center-simulation/,"Realistic simulation assessing call handling, problem resolution, and customer interaction skills.",P,True,False,30 minutes,English,"Entry, Professional"
Sales Assessment Battery,https://www.shl.com/products/product-catalog/view/sales-assessment/,"Comprehensive assessment combining cognitive ability, personality traits, and sales judgment.","K, P",True,False,45 minutes,"English, Spanish",Professional
Manager Assessment Solution,https://www.shl.com/products/product-catalog/view/manager-assessment/,Integrated assessment for management candidates including cognitive ability and leadership traits.,"K, P",True,True,60 minutes,"English, Spanish, French",Manager
Graduate Assessment Solution,https://www.shl.com/products/product-catalog/view/graduate-assessment/,Complete assessment for graduate recruitment including reasoning and personality measures.,"K, P",True,True,50 minutes,English,Entry
Technology Professional Assessment,https://www.shl.com/products/product-catalog/view/technology-professional-assessment/,Comprehensive assessment for tech roles combining technical aptitude with work style assessment.,"K, P",True,False,55 minutes,English,Professional
JavaScript Modern ES6+,https://www.shl.com/products/product-catalog/view/javascript-modern-es6/,"Modern JavaScript assessment covering ES6+ features, async/await, promises, modules, and DOM manipulation.",K,True,False,40 minutes,English,Professional
React.js Development,https://www.shl.com/products/product-catalog/view/reactjs-development/,"React.js framework assessment covering components, hooks, state management, and best practices.",K,True,False,45 minutes,English,Professional
Angular Development,https://www.shl.com/products/product-catalog/view/angular-development/,"Angular framework assessment including TypeScript, components, services, and RxJS.",K,True,False,45 minutes,English,Professional
Vue.js Development,https://www.shl.com/products/product-catalog/view/vuejs-development/,"Vue.js framework assessment covering composition API, reactivity, and component architecture.",K,True,False,40 minutes,English,Professional
Node.js Backend,https://www.shl.com/products/product-catalog/view/nodejs-backend/,"Node.js backend development assessment covering Express, APIs, middleware, and async patterns.",K,True,False,40 minutes,English,Professional
Full Stack Development,https://www.shl.com/products/product-catalog/view/full-stack-development/,"Comprehensive full-stack assessment covering frontend, backend, databases, and deployment.",K,True,False,60 minutes,English,Professional
C++ Programming,https://www.shl.com/products/product-catalog/view/cpp-programming/,"C++ programming assessment covering memory management, OOP, STL, and modern C++ features.",K,True,False,45 minutes,English,Professional
C# .NET Development,https://www.shl.com/products/product-catalog/view/csharp-dotnet-development/,"C# and .NET framework assessment covering language features, LINQ, async programming, and patterns.",K,True,False,40 minutes,English,Professional
Go Programming,https://www.shl.com/products/product-catalog/view/go-programming/,"Go programming assessment covering goroutines, channels, interfaces, and idiomatic Go patterns.",K,True,False,35 minutes,English,Professional
Rust Programming,https://www.shl.com/products/product-catalog/view/rust-programming/,"Rust programming assessment covering ownership, borrowing, lifetimes, and safe concurrency.",K,True,False,45 minutes,English,Professional
TypeScript Advanced,https://www.shl.com/products/product-catalog/view/typescript-advanced/,"Advanced TypeScript assessment covering type system, generics, decorators, and utility types.",K,True,False,35 minutes,English,Professional
Data Structures & Algorithms,https://www.shl.com/products/product-catalog/view/data-structures-algorithms/,"Fundamental assessment covering arrays, trees, graphs, sorting, searching, and complexity analysis.",K,True,True,50 minutes,English,Professional
System Design,https://www.shl.com/products/product-catalog/view/system-design/,"System design assessment covering scalability, distributed systems, and architecture patterns.",K,True,False,60 minutes,English,Manager
API Design & REST,https://www.shl.com/products/product-catalog/view/api-design-rest/,"RESTful API design assessment covering endpoints, authentication, versioning, and best practices.",K,True,False,30 minutes,English,Professional
GraphQL Development,https://www.shl.com/products/product-catalog/view/graphql-development/,"GraphQL assessment covering schemas, resolvers, queries, mutations, and subscriptions.",K,True,False,35 minutes,English,Professional
Microservices Architecture,https://www.shl.com/products/product-catalog/view/microservices-architecture/,"Microservices assessment covering service design, communication patterns, and containerization.",K,True,False,45 minutes,English,Manager
DevOps Fundamentals,https://www.shl.com/products/product-catalog/view/devops-fundamentals/,"DevOps assessment covering CI/CD, containerization, orchestration, and infrastructure as code.",K,True,False,40 minutes,English,Professional
AWS Cloud Practitioner,https://www.shl.com/products/product-catalog/view/aws-cloud-practitioner/,"AWS cloud assessment covering core services, architecture, security, and pricing models.",K,True,False,45 minutes,English,Professional
Azure Fundamentals,https://www.shl.com/products/product-catalog/view/azure-fundamentals/,"Microsoft Azure assessment covering cloud concepts, core services, and management tools.",K,True,False,40 minutes,English,Professional
GCP Cloud Engineering,https://www.shl.com/products/product-catalog/view/gcp-cloud-engineering/,"Google Cloud Platform assessment covering compute, storage, networking, and data services.",K,True,False,45 minutes,English,Professional
Docker & Kubernetes,https://www.shl.com/products/product-catalog/view/docker-kubernetes/,"Container orchestration assessment covering Docker, Kubernetes, deployments, and scaling.",K,True,False,40 minutes,English,Professional
Machine Learning Basics,https://www.shl.com/products/product-catalog/view/machine-learning-basics/,"Machine learning assessment covering supervised/unsupervised learning, evaluation, and common algorithms.",K,True,False,45 minutes,English,Professional
Data Science Python,https://www.shl.com/products/product-catalog/view/data-science-python/,"Data science assessment covering pandas, numpy, visualization, and statistical analysis in Python.",K,True,False,50 minutes,English,Professional
Database Administration,https://www.shl.com/products/product-catalog/view/database-administration/,"Database administration assessment covering optimization, replication, backup, and security.",K,True,False,40 minutes,English,Professional
MongoDB NoSQL,https://www.shl.com/products/product-catalog/view/mongodb-nosql/,"MongoDB assessment covering document modeling, queries, aggregation, and indexing.",K,True,False,35 minutes,English,Professional
PostgreSQL Advanced,https://www.shl.com/products/product-catalog/view/postgresql-advanced/,"Advanced PostgreSQL assessment covering complex queries, performance tuning, and extensions.",K,True,False,40 minutes,English,Professional
Network Security,https://www.shl.com/products/product-catalog/view/network-security/,"Network security assessment covering protocols, encryption, vulnerabilities, and best practices.",K,True,False,35 minutes,English,Professional
Cybersecurity Fundamentals,https://www.shl.com/products/product-catalog/view/cybersecurity-fundamentals/,"Cybersecurity assessment covering threat modeling, risk assessment, and security controls.",K,True,False,40 minutes,English,Professional
Linux System Administration,https://www.shl.com/products/product-catalog/view/linux-administration/,"Linux administration assessment covering shell scripting, system management, and troubleshooting.",K,True,False,40 minutes,English,Professional
Git Version Control,https://www.shl.com/products/product-catalog/view/git-version-control/,"Git assessment covering branching strategies, merging, rebasing, and collaborative workflows.",K,True,False,25 minutes,English,Entry
Agile & Scrum,https://www.shl.com/products/product-catalog/view/agile-scrum/,"Agile methodology assessment covering Scrum framework, ceremonies, and agile principles.",K,True,False,30 minutes,English,Professional
Software Testing & QA,https://www.shl.com/products/product-catalog/view/software-testing-qa/,"Software testing assessment covering test strategies, automation, and quality assurance practices.",K,True,False,35 minutes,English,Professional
Mobile Development iOS,https://www.shl.com/products/product-catalog/view/mobile-development-ios/,"iOS development assessment covering Swift, UIKit, SwiftUI, and App Store guidelines.",K,True,False,45 minutes,English,Professional
Mobile Development Android,https://www.shl.com/products/product-catalog/view/mobile-development-android/,"Android development assessment covering Kotlin, Jetpack, and Android architecture components.",K,True,False,45 minutes,English,Professional
React Native Development,https://www.shl.com/products/product-catalog/view/react-native-development/,"React Native assessment covering cross-platform development, navigation, and native modules.",K,True,False,40 minutes,English,Professional
Flutter Development,https://www.shl.com/products/product-catalog/view/flutter-development/,"Flutter and Dart assessment covering widgets, state management, and cross-platform development.",K,True,False,40 minutes,English,Professional
Deductive Reasoning,https://www.shl.com/products/product-catalog/view/deductive-reasoning/,Assesses ability to apply general rules to specific situations and draw logical conclusions.,K,True,True,20 minutes,"English, Spanish",All Levels
Abstract Reasoning,https://www.shl.com/products/product-catalog/view/abstract-reasoning/,"Measures ability to identify patterns, relationships, and logical rules in abstract information.",K,True,True,22 minutes,"English, Spanish",All Levels
Critical Thinking,https://www.shl.com/products/product-catalog/view/critical-thinking/,"Assesses ability to analyze arguments, identify assumptions, and evaluate evidence objectively.",K,True,False,30 minutes,English,Professional
